GeneName	Description	Process
ASAH2	Hydrolyzes the sphingolipid ceramide into sphingosine and free fatty acid at an optimal pH of 6.5-8.5. Acts as a key regulator of sphingolipid signaling metabolites by generating sphingosine at the cell surface. Acts as a repressor of apoptosis both by reducing C16-ceramide, thereby preventing ceramide-induced apoptosis, and generating sphingosine, a precursor of the antiapoptotic factor sphingosine 1-phosphate. Probably involved in the digestion of dietary sphingolipids in intestine by acting as a key enzyme for the catabolism of dietary sphingolipids and regulating the levels of bioactive sphingolipid metabolites in the intestinal tract	Metabolism of Lipids & Lipoproteins
CYB5A	Cytochrome b5 is a membrane bound hemoprotein which function as an electron carrier for several membrane bound oxygenases. It is also involved in several steps of the sterol biosynthesis pathway, particularly in the C-5 double bond introduction during the C-5 desaturation	Metabolism of Vitamins & Co-Factors
DHRS2	similarity: This gene encodes a member of the short-chain dehydrogenases/reductases (SDR) family, which has over 46,000 members. Members of this family are enzymes that metabolize many different compounds, such as steroid hormones, prostaglandins, retinoids, lipids and xenobiotics. 	Metabolism of Vitamins & Co-Factors
MMAA	function:May be involved in the transport of cobalamin (Cbl) into mitochondria for the final steps of adenosylcobalamin (AdoCbl) synthesispathway:Cofactor biosynthesis; adenosylcobalamin biosynthesissimilarity:Belongs to the argK family	Metabolism of Vitamins & Co-Factors
NAXD	similarity:Belongs to the YjeF familysimilarity:Contains 1 YjeF C-terminal domain	Metabolism of Vitamins & Co-Factors
NAXE	The product of this gene interacts with apolipoprotein A-I (apoA-I), the major apolipoprotein of high-density lipoproteins (HDLs). It is secreted into some bodily fluids, and its synthesis and secretion are stimulated in vitro by incubating cells with apoA-I. The human genome contains related pseudogenes. [provided by RefSeq, Jul 2008],	Metabolism of Vitamins & Co-Factors
DHRS4	catalytic activity:R-CHOH-R' + NADP(+) = R-CO-R' + NADPHfunction:Reduces all-trans-retinal and 9-cis retinal. Can also catalyze the oxidation of all-trans-retinol with NADP as co-factor, but with much lower efficiency. Reduces alkyl phenyl ketones and alpha-dicarbonyl compounds with aromatic rings, such as pyrimidine-4-aldehyde, 3-benzoylpyridine, 4-benzoylpyridine, menadione and 4-hexanoylpyridine. Has no activity towards aliphatic aldehydes and ketonesmiscellaneous:Inhibited by kaempferol, quercetin, genistein and myristic acidsimilarity:Belongs to the short-chain dehydrogenases/reductases (SDR) familysubunit:Homotetramer	Metabolism of Vitamins & Co-Factors
CLYBL	caution:This organism lacks the other subunits that are necessary for ATP-independent citrate lyase activity. Even though this protein has clear similarity to citrate lyase beta subunit, it is expected to have a somewhat different enzyme activitycofactor:Binds 1 magnesium ion per subunitsimilarity:Belongs to the hpcH/hpaI aldolase family. Citrate lyase beta subunit-like subfamilytissue specificity:Detected in brain, liver, kidney, heart, skeletal muscle and ovary	Metabolism of Vitamins & Co-Factors
MMAB	catalytic activity:ATP + cob(I)yrinic acid a,c-diamide = triphosphate + adenosylcob(III)yrinic acid a,c-diamidecatalytic activity:ATP + cobinamide = triphosphate + adenosylcobinamidepathway:Cofactor biosynthesis; adenosylcobalamin biosynthesis; adenosylcobalamin from cob(II)yrinic acid a,c-diamide: step 2/7similarity:Belongs to the Cob(I)alamin adenosyltransferase familysubunit:Homotrimer	Metabolism of Vitamins & Co-Factors
RDH13	This gene encodes a mitochondrial short-chain dehydrogenase/reductase, which catalyzes the reduction and oxidation of retinoids. The encoded enzyme may function in retinoic acid production and may also protect the mitochondria against oxidative stress.	Metabolism of Vitamins & Co-Factors
AKR1B10	This gene encodes a member of the aldo/keto reductase superfamily, which consists of more than 40 known enzymes and proteins. This member can efficiently reduce aliphatic and aromatic aldehydes, and it is less active on hexoses. It is highly expressed in adrenal gland, small intestine, and colon, and may play an important role in liver carcinogenesis. [provided by RefSeq, Jul 2008],	Metabolism of Vitamins & Co-Factors
NMNAT3	Catalyzes the formation of NAD(+) from nicotinamide mononucleotide (NMN) and ATP. Can also use the deamidated form; nicotinic acid mononucleotide (NaMN) as substrate with the same efficiency. Can use triazofurin monophosphate (TrMP) as substrate. Can also use GTP and ITP as nucleotide donors. Also catalyzes the reverse reaction, i.e. the pyrophosphorolytic cleavage of NAD(+). For the pyrophosphorolytic activity, can use NAD (+), NADH, NAAD, nicotinic acid adenine dinucleotide phosphate (NHD), nicotinamide guanine dinucleotide (NGD) as substrates. Fails to cleave phosphorylated dinucleotides NADP(+), NADPH and NAADP(+). Protects against axonal degeneration following injury	Metabolism of Vitamins & Co-Factors
CYB5B	Cytochrome b5 is a membrane bound hemoprotein which function as an electron carrier for several membrane bound oxygenases (By similarity)	Metabolism of Vitamins & Co-Factors
AKR1B7	catalytic activity:Alditol + NAD(P)(+) = aldose + NAD(P)Hfunction:The role of MVDP in sperm maturation and storage may be related to its potential capacity to produce fructose, or MVDP may play an osmoregulatory role by producing sorbitolinduction:Castration resulted in a marked decrease in the level of the mRNA coding for the protein, whereas administration of testosterone to castrated males resulted in a marked increasesimilarity:Belongs to the aldo/keto reductase familysubunit:Monomer	Metabolism of Vitamins & Co-Factors
COASY	Bifunctional enzyme that catalyzes the fourth and fifth sequential steps of CoA biosynthetic pathway. The fourth reaction is catalyzed by the phosphopantetheine adenylyltransferase, coded by the coaD domain; the fifth reaction is catalyzed by the dephospho-CoA kinase, coded by the coaE domain. May act as a point of CoA biosynthesis regulation	Metabolism of Vitamins & Co-Factors
MMADHC	similarity: This gene encodes a mitochondrial protein that is involved in an early step of vitamin B12 metabolism. Vitamin B12 (cobalamin) is essential for normal development and survival in humans. Mutations in this gene cause methylmalonic aciduria and homocystinuria type cblD (MMADHC), a disorder of cobalamin metabolism that is characterized by decreased levels of the coenzymes adenosylcobalamin and methylcobalamin. Pseudogenes have been identified on chromosomes 11 and X.[provided by RefSeq, Nov 2008],	Metabolism of Vitamins & Co-Factors
CYP27B1	Catalyzes the conversion of 25-hydroxyvitamin D3 (25(OH)D) to 1-alpha,25-dihydroxyvitamin D3 (1,25(OH)2D) plays an important role in normal bone growth, calcium metabolism, and tissue differentiation	Metabolism of Vitamins & Co-Factors
CYP24A1	Has a role in maintaining calcium homeostasis. Catalyzes the NADPH-dependent 24-hydroxylation of calcidiol (25- hydroxyvitamin D(3)) and calcitriol (1-alpha,25-dihydroxyvitamin D(3)). The enzyme can perform up to 6 rounds of hydroxylation of calcitriol leading to calcitroic acid	Metabolism of Vitamins & Co-Factors
PANK2	miscellaneous:The sequence shown here is derived from an EMBL/GenBank/DDBJ third party annotation (TPA) entry	Metabolism of Vitamins & Co-Factors
SLC16A7	Proton-linked monocarboxylate transporter. Catalyzes the rapid transport across the plasma membrane of many monocarboxylates such as lactate, pyruvate, branched-chain oxo acids derived from leucine, valine and isoleucine, and the ketone bodies acetoacetate, beta-hydroxybutyrate and acetate. MCT2 is a high affinity pyruvate transporter	Mitochondrial Carrier
SLC27A1	Involved in translocation of long-chain fatty acids (LFCA) across the plasma membrane. The LFCA import appears to be hormone-regulated in a tissue-specific manner. In adipocytes, but not myocytes, insulin induces a rapid translocation of FatP1 from intracellular compartments to the plasma membrane, paralleled by increased LFCA uptake. May act directly as a bona fide transporter, or alternatively, in a cytoplasmic or membrane- associated multimeric protein complex to trap and draw fatty acids towards accumulation. Plays a pivotal role in regulating available LFCA substrates from exogenous sources in tissues undergoing high levels of beta-oxidation or triglyceride synthesis. May be involved in regulation of cholesterol metabolism. Has acyl-CoA ligase activity for long-chain and very-long-chain fatty acids	Mitochondrial Carrier
SLC29A1	Mediates both influx and efflux of nucleosides across the membrane (equilibrative transporter). It is sensitive (ES) to low concentrations of the inhibitor nitrobenzylmercaptopurine riboside (NBMPR) and is sodium-independent. It has a higher affinity for adenosine. Resistant to dipyridamole and dilazep inhibition (anticancer chemotherapeutics drugs)	Mitochondrial Carrier
SLC3A1	Mitochondrial carrier protein involved in transmembrane transport	Mitochondrial Carrier
SLC44A1	function:Probable choline transporter. May be involved in membrane synthesis and myelin productionsimilarity:Belongs to the CTL (choline transporter-like) familytissue specificity:Specifically abundant in skeletal muscle (at protein level)	Mitochondrial Carrier
SLC25A3	Transport of phosphate groups from the cytosol to mitochondrial matrix. Phosphate is cotransported with H(+) (By similarity)	Mitochondrial Carrier
SLC25A20	Mediates the transport of acylcarnitines of different length across the mitochondrial inner membrane from the cytosol to the mitochondrial matrix for their oxidation by the mitochondrial fatty acid-oxidation pathway (By similarity)	Mitochondrial Carrier
SLC25A35	similarity:Belongs to the mitochondrial carrier familysimilarity:Contains 3 Solcar repeats	Mitochondrial Carrier
SLC25A11	Catalyzes the transport of 2-oxoglutarate across the inner mitochondrial membrane in an electroneutral exchange for malate or other dicarboxylic acids, and plays an important role in several metabolic processes, including the malate-aspartate shuttle, the oxoglutarate/isocitrate shuttle, in gluconeogenesis from lactate, and in nitrogen metabolism (By similarity)	Mitochondrial Carrier
SLC25A1	similarity:Belongs to the mitochondrial carrier familysimilarity:Contains 3 Solcar repeats	Mitochondrial Carrier
SLC25A42	similarity:Belongs to the mitochondrial carrier familysimilarity:Contains 3 Solcar repeats	Mitochondrial Carrier
SLC25A30	function:Probable transporterinduction:Up-regulated during fasting and in the regenerative phase following renal tubular injurysimilarity:Belongs to the mitochondrial carrier familysimilarity:Contains 3 Solcar repeatstissue specificity:Present in kidney (at protein level). Expressed predominantly within the kidney cortex in the proximal and distal tubules and at lower levels in the testis and white adipose tissue	Mitochondrial Carrier
SLC25A10	function:Involved in translocation of malonate, malate and succinate in exchange for phosphate, sulfate, sulfite or thiosulfate across mitochondrial inner membranesimilarity:Belongs to the mitochondrial carrier familysimilarity:Contains 3 Solcar repeatstissue specificity:Expressed at very high levels in white adipocytes	Mitochondrial Carrier
SLC25A19	Mitochondrial transporter mediating uptake of thiamine pyrophosphate (ThPP) into mitochondria (By similarity)	Mitochondrial Carrier
